año;mes;inflación
1988;6;0.050357055
1988;7;0.084515297
1988;8;0.033479248
1988;9;0.042042513
1988;10;0.071107766
1988;11;0.044320551
1988;12;0.017541105
1989;1;0.040914402
1989;2;0.063745526
1989;3;0.069660953
1989;4;0.052486599
1989;5;0.029284855
1989;6;0.076042884
1989;7;0.058630049
1989;8;0.044267141
1989;9;0.048947817
1989;10;0.072949082
1989;11;0.040731995
1989;12;0.058176527
1990;1;0.050678195
1990;2;0.068552099
1990;3;0.089728686
1990;4;0.070129821
1990;5;0.056019367
1990;6;0.095854966
1990;7;0.056421655
1990;8;0.055672445
1990;9;0.146609749
1990;10;0.064704715
1990;11;0.052812943
1990;12;0.054252294
1991;1;0.072271619
1991;2;0.035010276
1991;3;0.049959414
1991;4;0.038492953
1991;5;0.087132619
1991;6;0.04292772
1991;7;0.043557128
1991;8;0.062846804
1991;9;0.064933328
1991;10;0.037240825
1991;11;0.046912848
1991;12;0.031101959
1992;1;0.05221306
1992;2;0.024164634
1992;3;0.06531494
1992;4;0.041192883
1992;5;0.046509008
1992;6;0.026862553
1992;7;0.045017622
1992;8;0.043483712
1992;9;0.04172574
1992;10;0.036878841
1992;11;0.016942837
1992;12;0.032807028
1993;1;0.040018569
1993;2;0.034889148
1993;3;0.035866218
1993;4;0.041273772
1993;5;0.047071184
1993;6;0.040051404
1993;7;0.030155798
1993;8;0.040046297
1993;9;0.036911938
1993;10;0.021827904
1993;11;0.027353835
1993;12;0.036748351
1994;1;0.03405783
1994;2;0.014291106
1994;3;0.028298397
1994;4;0.035239994
1994;5;0.027594295
1994;6;0.028094213
1994;7;0.031622968
1994;8;0.031314051
1994;9;0.034172463
1994;10;0.034992616
1994;11;0.039356629
1994;12;0.032214177
1995;1;0.032235216
1995;2;0.017084072
1995;3;0.035908218
1995;4;0.035318473
1995;5;0.022194248
1995;6;0.030353723
1995;7;0.025005659
1995;8;0.034126856
1995;9;0.019061757
1995;10;0.015125538
1995;11;0.019495544
1995;12;0.021588021
1996;1;0.020260972
1996;2;0.014980798
1996;3;0.019173595
1996;4;0.02845448
1996;5;0.020946227
1996;6;0.012906753
1996;7;0.016679457
1996;8;0.021492003
1996;9;0.024977581
1996;10;0.015794037
1996;11;0.012031074
1996;12;0.012263252
1997;1;0.019801453
1997;2;0.016356239
1997;3;0.012760658
1997;4;0.0142
1997;5;0.013409584
1997;6;0.013037556
1997;7;0.013349981
1997;8;0.007676997
1997;9;0.007994733
1997;10;0.007744705
1997;11;0.008425926
1997;12;0.007345515
1998;1;0.013945857
1998;2;0.005843222
1998;3;0.003932434
1998;4;0.006053592
1998;5;0.005663216
1998;6;0.00950286
1998;7;0.01272553
1998;8;0.007831999
1998;9;0.006575576
1998;10;0.006956817
1998;11;0.003201618
1998;12;0.000923826
1999;1;0.006544722
1999;2;0.001750584
1999;3;0.002163602
1999;4;0.008635722
1999;5;0.001564172
1999;6;0.00065757
1999;7;0.003860687
1999;8;0.003682186
1999;9;0.000244579
1999;10;0.003260249
1999;11;0
1999;12;0.008611585
2000;1;0.003785743
2000;2;0.003370246
2000;3;0.006158029
2000;4;0.004371672
2000;5;0.00459006
2000;6;0.004962975
2000;7;0.00376264
2000;8;0.005232331
2000;9;0.0038844
2000;10;0.006887479
2000;11;0.000461148
2000;12;0.001920565
2001;1;0.00329704
2001;2;0.002904089
2001;3;0.003733902
2001;4;0.008123292
2001;5;0.006325778
2001;6;-0.004415176
