"";"deserta";"educ_jefe";"hermanos";"jmujer";"miembros";"aglomerado";"edad";"ch07";"ch08";"ch10";"ch11";"ch13";"ch14";"nivel_ed";"estado";"cat_ocup";"cat_inac";"intensi";"ingresos_familiares";"ingreso_per_capita";"mujer"
"192";0;4;1;0;3;3;15;5;4;1;1;2;"02";3;3;0;3;NA;7200;2400;0
"193";0;7;3;0;5;3;13;5;1;1;2;2;"02";3;3;0;3;NA;0;0;1
"194";0;7;4;0;6;3;19;5;4;2;0;1;"";4;3;0;7;NA;0;0;0
"195";0;7;4;0;6;3;16;5;4;1;1;2;"04";3;3;0;3;NA;0;0;0
"196";0;4;3;0;5;3;16;5;2;1;2;2;"03";3;3;0;3;NA;72000;14400;0
"197";0;4;4;0;6;3;17;5;12;1;1;2;"05";3;3;0;3;NA;0;0;1
"198";0;4;4;0;6;3;16;5;12;1;1;2;"04";3;3;0;3;NA;0;0;1
"199";0;4;2;0;4;3;17;5;1;1;1;2;"05";3;3;0;3;NA;0;0;0
"200";0;2;2;0;7;3;16;5;4;1;1;2;"03";3;3;0;3;NA;49000;7000;0
"201";0;4;2;0;4;3;15;5;12;1;2;2;"03";3;3;0;3;NA;0;0;1
"202";0;7;3;0;5;3;17;5;1;1;1;2;"05";3;3;0;3;NA;0;0;1
"203";0;4;2;0;4;3;14;5;1;1;1;2;"02";3;3;0;3;NA;35000;8750;0
"204";0;4;2;0;4;3;17;5;1;1;2;2;"05";3;3;0;3;NA;0;0;1
"205";0;4;2;0;4;3;18;5;4;1;1;2;"06";3;3;0;3;NA;3000;750;0
"206";0;4;2;0;4;3;13;5;4;1;1;2;"01";3;3;0;3;NA;3000;750;1
"207";0;2;4;0;6;3;14;5;4;1;1;2;"04";3;3;0;3;NA;10000;1666,67;1
"208";0;4;2;0;4;3;16;5;4;1;1;2;"05";3;3;0;3;NA;0;0;1
"209";0;4;2;0;4;3;14;5;4;1;1;2;"03";3;3;0;3;NA;0;0;1
"210";0;4;2;0;5;3;14;5;1;1;1;2;"02";3;3;0;3;NA;51000;10200;1
"211";0;3;3;0;5;3;15;5;4;1;1;2;"02";3;3;0;3;NA;32000;6400;1
"212";1;2;2;0;4;3;19;5;4;1;1;2;"05";3;3;0;3;NA;0;0;0
"213";0;4;4;0;6;3;14;5;12;1;1;2;"02";3;3;0;3;NA;0;0;0
"214";0;4;4;0;6;3;13;5;12;1;1;2;"01";3;3;0;3;NA;0;0;0
"215";0;4;2;0;4;3;14;5;4;1;2;2;"02";3;3;0;3;NA;60000;15000;1
"216";0;4;2;0;4;3;17;5;1;1;2;2;"04";3;3;0;3;NA;93000;23250;0
"217";0;7;2;0;4;3;16;5;2;1;2;2;"04";3;3;0;3;NA;0;0;1
"218";0;7;2;0;4;3;14;5;2;1;2;2;"03";3;3;0;3;NA;0;0;0
