"";"ID";"anio";"mes";"dpto";"region_4";"e26";"e27";"e29_6";"e36";"e49";"e202";"e197_1";"e51_2";"e51_3";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_4_a";"e51_4_b";"e51_5";"e51_6";"e51_8";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"pobpcoac";"pt1";"pt2";"pt4";"edu";"exp";"lpt1";"lpt4";"exp2"
"72";78;2021;7;1;1;1;48;3;0;1;0;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;45;2;2;2;2;1;2;48094;48093,5;48094;10;32;10,7809023118271;10,7809023118271;1024
"73";81;2021;7;1;1;2;43;3;0;1;0;1;6;0;1;0;0;1;3;0;0;3;0;0;0;0;0;60;2;2;2;1;9;2;18094;18093,5;18094;12;25;9,80330803673422;9,80330803673422;625
"74";81;2021;7;1;1;1;61;3;0;1;0;1;6;0;0;2;0;0;0;2;0;0;0;0;0;0;0;45;2;2;2;2;1;2;56094;56093,5;56094;8;47;10,9347752202703;10,9347752202703;2209
"75";82;2021;7;1;1;1;57;3;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2;2;2;1;9;2;16034;15000;15000;6;45;9,68244179930406;9,61580548008435;2025
"76";83;2021;7;1;1;2;47;3;3;1;0;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;20;2;2;2;1;1;2;25294;16093,5;16094;8;33;10,1383027247107;9,68617074274491;1089
"77";86;2021;7;1;1;1;57;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;2;0;0;0;44;2;2;2;2;1;2;40594;40593,5;40594;14;37;10,6113632342505;10,6113632342505;1369
"78";86;2021;7;1;1;2;53;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;44;2;2;2;1;1;2;36094;18093,5;18094;12;35;10,4938680727074;9,80330803673422;1225
"79";87;2021;7;1;1;2;48;3;2;1;0;1;6;0;1;0;1;0;3;0;3;0;4;0;3;0;0;20;2;2;2;1;2;2;98094;61093,5;78094;19;23;11,4936763844388;11,2656621057317;529
"80";89;2021;7;1;1;1;41;3;0;1;0;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;45;2;2;2;2;1;2;47000;47000;47000;10;25;10,7579028806922;10,7579028806922;625
"81";89;2021;7;1;1;1;20;3;5;1;0;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;40;2;2;2;2;2;2;52094;52093,5;52094;8;6;10,8607954598815;10,8607954598815;36
"82";90;2021;7;1;1;1;48;3;5;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;2;2;2;9;2;10000;10000;10000;6;36;9,21034037197618;9,21034037197618;1296
"83";90;2021;7;1;1;2;30;3;1;1;0;1;6;0;2;0;0;0;1;0;0;0;0;0;0;0;0;12;2;2;2;1;9;2;9000;5000;5000;7;17;9,10497985631836;8,51719319141624;289
"84";95;2021;7;1;1;1;60;3;0;1;0;1;6;0;2;0;0;0;1;0;0;0;0;0;0;0;0;48;2;2;2;2;1;2;35094;15093,5;15094;7;47;10,4657712071199;9,62201946655082;2209
"85";96;2021;7;1;1;1;40;3;0;1;0;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;45;2;2;2;2;1;2;40094;40093,5;40094;8;26;10,5989695053928;10,5989695053928;676
"86";97;2021;7;1;1;2;43;3;1;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;3;0;0;40;2;2;2;1;1;2;48094;48093,5;48094;15;22;10,7809023118271;10,7809023118271;484
"87";97;2021;7;1;1;1;43;3;5;1;0;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;6;2;2;2;1;9;2;10000;10000;10000;10;27;9,21034037197618;9,21034037197618;729
"88";99;2021;7;1;1;2;48;3;0;1;0;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;30;2;2;2;1;1;2;41094;41093,5;41094;9;33;10,6236052371256;10,6236052371256;1089
