Referencia;Nombre_jugador;Equipo;Posición;Edad ;Salario;Posicion;Rango_edad
388;Norvel Pelle; POR;PF ;29 ;1836090;ala;3
389;Thomas Bryant; LAL;C ;25 ;1836090;pivot;2
390;Troy Brown Jr.; LAL;SF ;23 ;1836090;Alero;2
391;Juan Toscano-Anderson; LAL;SF ;29 ;1836090;Alero;3
392;T.J. Warren; BKN;SF ;29 ;1836090;Alero;3
393;Matthew Dellavedova; SAC;PG ;32 ;1836090;Base;4
394;Sam Merrill; SAC;SG ;26 ;1836090;Escolta;2
395;Gorgui Dieng; SAS;C ;33 ;1836090;pivot;4
396;Alize Johnson; SAS;PF ;26 ;1836090;ala;2
397;Goran Dragic; CHI;PG ;36 ;1836090;Base;5
398;Max Strus; MIA;SG ;26 ;1815677;Escolta;2
399;Gabe Vincent; MIA;PG ;26 ;1815677;Base;2
400;Javonte Green; CHI;SG ;29 ;1815677;Escolta;3
401;Herbert Jones; NOP;SF ;24 ;1785000;Alero;2
402;Lamar Stevens; CLE;PF ;25 ;1782621;ala;2
403;Naji Marshall; NOP;SF ;25 ;1782621;Alero;2
404;Vernon Carey Jr.; WAS;C ;21 ;1782621;pivot;1
405;Kenyon Martin Jr.; HOU;SF ;22 ;1782621;Alero;1
406;Isaiah Joe; PHI;SG ;23 ;1782621;Escolta;2
407;Paul Reed; PHI;PF ;23 ;1782621;ala;2
408;Xavier Tillman; MEM;PF ;24 ;1782621;ala;2
409;Nick Richards; CHA;C ;25 ;1782621;pivot;2
410;Tre Jones; SAS;PG ;23 ;1782621;Base;2
411;Saben Lee; DET;PG ;23 ;1752638;Base;2
412;Devin Cannady; ORL;PG ;26 ;1752638;Base;2
413;Omer Yurtseven; MIA;C ;24 ;1752638;pivot;2
414;Lindell Wigginton; MIL;SG ;24 ;1637966;Escolta;2
415;Tyler Hall; DAL;SG ;25 ;1637966;Escolta;2
416;McKinley Wright IV; DAL;PG ;24 ;1637966;Base;2
417;Jericho Sims; NYK;PF ;24 ;1637966;ala;2
418;Mac McClung; GSW;PG ;24 ;1637966;Base;2
419;Trevelin Queen; PHI;SG ;25 ;1637966;Escolta;2
420;Xavier Moon; LAC;SG ;28 ;1637966;Escolta;3
421;Sam Hauser; BOS;SF ;25 ;1637966;Alero;2
422;Jay Huff; LAL;C ;24 ;1637966;pivot;2
423;Kessler Edwards; BKN;SF ;22 ;1637966;Alero;1
424;Carlik Jones; CHI;PG ;25 ;1637966;Base;2
425;Ayo Dosunmu; CHI;SG ;23 ;1563518;Escolta;2
426;Marko Simonovic; CHI;C ;23 ;1563518;pivot;2
427;Dalano Banton; TOR;PG ;23 ;1563518;Base;2
428;Jared Butler; UTH;PG ;22 ;1563518;Base;1
429;Isaiah Todd; WAS;PF ;21 ;1563518;ala;1
430;Miles McBride; NYK;PG ;22 ;1563518;Base;1
431;Isaiah Livers; DET;PF ;24 ;1563518;ala;2
432;Vit Krejci; OKC;PG ;22 ;1563518;Base;1
433;Aaron Wiggins; OKC;SG ;24 ;1563518;Escolta;2
434;Daishen Nix; HOU;PG ;20 ;1563518;Base;1
435;Charles Bassey; PHI;C ;22 ;1563518;pivot;1
436;Jock Landale; PHX;C ;27 ;1563518;pivot;3
437;Brandon Boston Jr; LAC;SG ;21 ;1563518;Escolta;1
438;Jason Preston; LAC;PG ;23 ;1563518;Base;2
439;Greg Brown III; POR;PF ;21 ;1563518;ala;1
440;Trendon Watford; POR;SF ;22 ;1563518;Alero;1
441;Austin Reaves; LAL;PG ;24 ;1563518;Base;2
442;JT Thor; CHA;PF ;20 ;1563518;ala;1
443;Kennedy Chandler; MEM;PG ;20 ;1200000;Base;1
444;Orlando Robinson; MIA;C ;22 ;1017781;pivot;1
445;Gabe Brown; TOR;SF ;22 ;1017781;Alero;1
446;Josh Minott; MIN;PF ;20 ;1017781;ala;1
447;Jaden Hardy; DAL;SG ;20 ;1017781;Escolta;1
448;Makur Makur; WAS;C ;22 ;1017781;pivot;1
