referencia;Nombre_Jugador;Equipo ;Posicion;Edad;salario;Rango_edad
424;Alize Johnson;BKN;ala;24;399591;2
425;Tyler Cook;DET;ala;23;396081;2
426;Juan Toscano-Anderson;GSW;alero;27;358295;3
427;Yuta Watanabe;TOR;alero;25;321893;2
428;Anthony Tolliver;PHI;ala;35;263502;5
429;Tim Frazier;MEM;base;29;255294;3
430;Khyri Thomas;HOU;escolta;24;250000;2
431;Damian Jones;SAC;pivot;25;237965;2
432;DeMarcus Cousins;LAC;pivot;30;233095;3
433;Moritz Wagner;ORL;pivot;23;221995;2
434;Yogi Ferrell;LAC;base;27;214169;3
435;Rondae Hollis-Jefferson;POR;alero;25;210895;2
436;Austin Rivers;DEN;base;28;188696;3
437;Mamadi Diakite;MIL;ala;23;160173;2
438;Mfiondu Kabengele;CLE;ala;23;158433;2
439;Didi Louzada;NOP;alero;21;123056;1
440;Naji Marshall;NOP;alero;22;120000;1
441;Freddie Gillespie;TOR;ala;23;116903;2
442;Alize Johnson;BKN;ala;24;110998;2
443;Alize Johnson;BKN;ala;24;110998;2
444;Henry Ellenson;TOR;pivot;23;110998;2
445;Rondae Hollis-Jefferson;POR;alero;25;110998;2
446;Rondae Hollis-Jefferson;POR;alero;25;110998;2
447;Khyri Thomas;HOU;escolta;24;110998;2
448;Isaiah Thomas;NOP;base;31;110998;4
449;Sindarius Thornwell;NOP;escolta;25;110998;2
450;Sindarius Thornwell;NOP;escolta;25;110998;2
451;Tim Frazier;MEM;base;29;110998;3
452;Tim Frazier;MEM;base;29;110998;3
453;Austin Rivers;DEN;base;28;110998;3
454;Damian Jones;SAC;pivot;25;110998;2
455;Damian Jones;SAC;pivot;25;110998;2
456;John Henson;NYK;ala;29;110998;3
457;Jordan Bell;WAS;pivot;25;110998;2
458;Jordan Bell;WAS;pivot;25;110998;2
459;Anthony Tolliver;PHI;ala;35;110998;5
460;Anthony Tolliver;PHI;ala;35;110998;5
461;DeMarcus Cousins;LAC;pivot;30;110998;3
462;DeMarcus Cousins;LAC;pivot;30;110998;3
463;Yogi Ferrell;LAC;base;27;110998;3
464;Anderson Varejao;CLE;ala;38;110998;5
465;Cam Reynolds;SAS;alero;25;110998;2
466;Quinn Cook;CLE;base;27;110998;3
467;Quinn Cook;CLE;base;27;110998;3
468;Yogi Ferrell;CLE;base;27;110998;3
469;Gary Payton II;GSW;base;27;110998;3
470;Gary Payton II;GSW;base;27;110998;3
471;Damian Jones;LAL;pivot;25;110998;2
472;Damian Jones;LAL;pivot;25;110998;2
473;Iman Shumpert;BKN;escolta;30;110998;3
474;Andre Roberson;BKN;escolta;28;110998;3
475;Tyler Cook;BKN;ala;23;99020;2
476;Mike James;BKN;base;30;99020;3
477;Mike James;BKN;base;30;99020;3
478;Donta Hall;TOR;ala;23;99020;2
479;Ignas Brazdeikis;ORL;alero;21;99020;1
480;Robert Franks;ORL;alero;24;99020;2
481;Robert Franks;ORL;alero;24;99020;2
482;Donta Hall;ORL;ala;23;99020;2
483;Donta Hall;ORL;ala;23;99020;2
484;Norvel Pelle;SAC;ala;27;99020;3
485;Oshae Brissett;IND;alero;22;99020;1
486;Oshae Brissett;IND;alero;22;99020;1
487;Jared Harper;NYK;base;23;99020;2
488;Norvel Pelle;NYK;ala;27;99020;3
489;Norvel Pelle;NYK;ala;27;99020;3
490;Tyler Cook;DET;ala;23;99020;2
491;Tyler Cook;DET;ala;23;99020;2
492;Mfiondu Kabengele;CLE;ala;23;99020;2
493;Mfiondu Kabengele;CLE;ala;23;99020;2
494;Charlie Brown Jr.;OKC;escolta;22;99020;1
495;Charlie Brown Jr.;OKC;escolta;22;99020;1
496;Justin Robinson;OKC;base;22;99020;1
497;Justin Robinson;OKC;base;22;99020;1
498;Donta Hall;ORL;ala;23;79216;2
499;Freddie Gillespie;TOR;ala;23;61528;2
500;Freddie Gillespie;TOR;ala;23;61528;2
