dog_name,birth_year,gender,breed,zipcode
BENJAMIN,2014,M,Standard Schnauzer,10032
CODY,2012,M,Siberian Husky,11105
WAXEY,2009,M,Chihuahua,10039
PRINCE,2011,M,Labrador Retriever,11228
BENDELS,2005,M,Maltese,10023
LUNA,2012,F,Shih Tzu,10039
RIVER,2013,F,Australian Shepherd,10012
SASHA,2008,F,Yorkshire Terrier,11224
DOORY,2011,M,Unknown,11106
ZAPPA,2008,M,Border Collie,11205
ALEX,2011,M,Yorkshire Terrier,10023
DELILAH,2007,F,German Shepherd Crossbreed,10024
ELLA,2012,F,Shih Tzu,10023
BIANCO,2008,M,Maltese,11102
POLLY,2013,F,Yorkshire Terrier,10011
SCOOBY,2013,F,Unknown,10475
NIKKO,2010,M,Siberian Husky,10038
MOJO,2010,M,German Shepherd Crossbreed,11222
LAYLA,2011,F,"Bull Dog, French",10011
ZOEY,2007,F,Puggle,11228
MURPHY,2012,M,Labradoodle,10016
WATSON,2013,M,Beagle,11238
DIESEL,2010,M,Unknown,11201
PENNY,2012,F,Bassett Hound,10002
CHANTILLY,2012,F,Brittany Spaniel,11415
DODGER,2010,M,Unknown,10280
LUNA,2012,F,Rottweiler,10451
BETSY,2011,F,Labrador Retriever,11375
BOOMER,2011,F,Boston Terrier,11101
TOOTSIE,2008,F,Staffordshire Bull Terrier,11385
HUMPHREY,2013,M,Golden Retriever,10017
AJ,2012,M,Golden Retriever,10075
TUCKER,2006,M,Shih Tzu,11221
PHOENXI,2006,F,Maltese,10128
OLIVIA,2008,F,Havanese,10026
DIZZY,2012,M,Beagle Crossbreed,10023
XIAO,2007,F,Shih Tzu,10280
BODHI,2005,M,Unknown,11231
COCO,2011,F,Labradoodle,10065
FRANKIE,2013,F,"Schnauzer, Standard",10025
REGGIE,2009,M,"Collie, Smooth Coat",11209
CYPHA,2006,M,Unknown,10452
DUDLEY,2003,M,"Schnauzer, Miniature",10025
TOBY,2011,M,Golden Retriever,10025
LUCKY,2013,M,Maltese,11101
WALLY,2009,M,"Bull Dog, French",11228
RAMIRO,2014,M,Golden Retriever,10029
JASPER,2010,M,Jack Russell Terrier,10451
FELLA,2003,M,Lhasa Apso,10023
BARKLEY,2014,F,Labradoodle,10128
AMY,2001,F,Labrador Retriever Crossbreed,10023
CHARLIE,2013,M,Vizsla,10025
SHADOW,2004,F,Unknown,11231
BENZO,2006,M,Unknown,10128
PERLA,2004,F,Unknown,10471
SORU,2010,M,Labrador Retriever Crossbreed,11238
HERMAN,2012,M,Jack Russell Terrier,11358
BONACKER,2008,M,American English Coonhound,10025
BEAR,2013,M,Labrador Retriever Crossbreed,10031
TALULLAH,2014,F,Chihuahua,10011
SHADOW,2012,M,Labrador Retriever,11218
LEROY,2010,M,"Bull Dog, French",10013
MAX,2013,M,Pomeranian,11358
OSCAR,2012,M,Border Collie,11106
IVY,2004,F,Unknown,10065
SAMMY,2007,M,Australian Shepherd,10027
GOBI,2014,M,Labrador Retriever,10128
ELLIE,2010,F,Jack Russell Terrier,11106
ZACK,2010,M,"Poodle, Miniature",10028
ROXIE,2007,F,Labrador Retriever,10028
CHEWBACCA,2014,M,German Shepherd Dog,11204
ROMEO,2007,M,Chihuahua,10022
BAILEY,2006,F,Unknown,10019
HUMFREY,2009,M,Shih Tzu,10021
LOUIS,2000,M,Portuguese Water Dog,10024
RO,2009,F,Labrador Retriever Crossbreed,11215
JUNE,2011,F,Collie Crossbreed,11105
BETTY,2012,F,"Bull Dog, French",11206
MADELINA,2012,F,Beagle Crossbreed,10034
GIZMO,2003,M,Chihuahua,10023
SASHA,2002,F,Miniature Pinscher,11235
JENNY,2012,F,Silky Terrier,10312
LEXY,2006,F,Yorkshire Terrier,10019
GABE,2012,M,Rhodesian Ridgeback,11215
CARLY,2014,F,Doberman Pinscher,10309
JJYODAA,2010,M,Shih Tzu,10314
LOL,2008,F,Rottweiler,10314
EMMY,2014,F,Doberman Pinscher,10309
ME,2004,F,Miniature Pinscher,11434
CASPER,2012,M,Beagle,11414
SAM,2007,M,Labrador Retriever,11418
LYDIA,2011,F,Beagle Crossbreed,10014
BARTHOLOMEW,2007,M,Jack Russell Terrier,11238
MILEY,2007,M,Yorkshire Terrier,10016
LUKE,2012,M,Border Terrier,10025
BLU,2009,F,Yorkshire Terrier,10016
BACON,2001,M,Shiba Inu,10002
SOFIE,2013,F,Bichon Frise,11238
FRITZ,2005,M,"Schnauzer, Miniature",10009
NAKIA,2012,F,American Pit Bull Mix / Pit Bull Mix,10026
BRIX,2006,F,Puggle,10013
CHESTER,2008,M,Labrador Retriever Crossbreed,11375
ROSIE,2013,F,American Pit Bull Mix / Pit Bull Mix,10470
ELVIS,2009,M,Yorkshire Terrier,10035
GUINNESS,2012,M,Beagle Crossbreed,11379
ROOSEVELT,2012,M,Beagle Crossbreed,11379
TACO,2014,M,Unknown,10461
PUFFY,2002,F,"Poodle, Miniature",10037
ROSS,2014,M,Bichon Frise,11238
STELLA,2010,F,Yorkshire Terrier,10035
HARLEY,2012,F,German Shepherd Crossbreed,10470
CUPCAKES,2011,F,Yorkshire Terrier,10037
ROCKY,2013,M,Dachshund,11101
RAWLY,2001,M,"Poodle, Toy",10023
TITUS,2013,M,Scottish Terrier,11233
KITA,2014,F,Shiba Inu,11222
BUDDY,2013,M,German Shepherd Crossbreed,11385
ZOE,2014,F,Poodle,10013
BARKLEY,2010,F,American Pit Bull Mix / Pit Bull Mix,10075
CASSIE,2011,F,Belgian Malinois,11211
HATCHI,2011,M,Maltese,10027
MELODY,2007,F,Maltese,10128
BEANS,2011,M,Beagle,10040
LOCA,2009,F,Cavalier King Charles Spaniel,10009
HENRIK,2009,M,German Shepherd Crossbreed,11358
BROOKE,2009,F,Bull Terrier,11233
ONYX,2009,M,"Schnauzer, Standard",11368
MAGICK,2010,M,Siberian Husky,11219
KOKO,2013,F,Chihuahua,10462
DULCE,2009,F,"Poodle, Miniature",11373
TIGER,2010,M,German Shepherd Dog,11354
SAM,2008,M,"Bull Dog, English",11220
BENNY,2008,M,Unknown,10012
LUNA,2010,F,Unknown,11215
WILLIS,2010,M,"Bull Dog, English",11209
MAX,2008,M,Unknown,11211
HOWARD,2012,M,Pomeranian,11238
JADE,2010,F,Schipperkee,10461
WATSON,2012,M,Wheaton Terrier,11215
JACKSON,2014,M,French Bulldog,10009
ROCKY,2010,M,Yorkshire Terrier,11223
MAX,2013,M,Yorkshire Terrier,11373
ZIPPY,2010,F,Scottish Terrier,11221
APOLLO,2006,M,Brittany Spaniel,11222
RIO,2006,M,Labrador Retriever,11101
